,Average running time,Running time stdev,Average score,Score stdev,Average quality,Objective quality
10,0.052963781356811526,0.00837252178604899,7.4,0.5477225575051661,25.999999999999993,
11,0.04897332191467285,0.0065214309300035906,8.8,0.4472135954999579,19.999999999999996,
12,0.051327848434448244,0.003994146156363449,8.8,0.4472135954999579,26.66666666666666,
13,0.07141547203063965,0.023046935676276463,10.2,0.4472135954999579,21.538461538461544,
14,0.06251769065856934,0.013203789176347468,10.6,0.5477225575051661,24.28571428571429,
15,0.07702317237854003,0.013422653627614523,11.4,0.5477225575051661,23.999999999999996,
16,0.07286739349365234,0.0164848851666836,12.0,0.7071067811865476,25.0,
17,0.08424978256225586,0.005932177252825866,12.2,0.4472135954999579,28.23529411764706,
18,0.061516427993774415,0.003488303724311695,13.6,0.5477225575051661,24.444444444444446,
19,0.06660914421081543,0.004173289545179858,13.8,1.0954451150103321,27.36842105263157,
20,0.06911177635192871,0.011916863504501135,15.4,0.5477225575051661,22.999999999999996,
21,0.10220828056335449,0.011486326815968166,15.0,0.7071067811865476,28.571428571428573,
22,0.0708770751953125,0.0030746962963452275,17.2,0.8366600265340756,21.81818181818182,
23,0.08155179023742676,0.015540578640117233,17.4,0.5477225575051661,24.347826086956527,
24,0.07718076705932617,0.005630202285074742,17.4,0.5477225575051661,27.500000000000004,
25,0.0822744369506836,0.0032415384578507976,18.4,0.5477225575051661,26.400000000000006,
26,0.1008188247680664,0.015639083427984646,19.6,0.5477225575051661,24.61538461538461,
27,0.11324172019958496,0.0038751576483613734,20.6,0.5477225575051661,23.7037037037037,
28,0.12570834159851074,0.008250208701768794,20.4,0.5477225575051661,27.142857142857146,
29,0.12425322532653808,0.009376877903744148,21.6,0.5477225575051661,25.51724137931034,
30,0.09883561134338378,0.013339411798166811,22.2,1.0954451150103321,26.000000000000004,
31,0.09993019104003906,0.011790484627587292,23.0,1.0,25.806451612903224,
32,0.13721895217895508,0.008040237583213995,23.6,0.5477225575051661,26.249999999999996,
33,0.11543474197387696,0.018767448918635743,24.6,0.8944271909999159,25.45454545454545,
34,0.13734188079833984,0.02325264448987054,25.2,0.4472135954999579,25.882352941176475,
35,0.12760601043701172,0.023857830441177796,26.2,0.8366600265340756,25.142857142857146,
36,0.11131143569946289,0.013997360598138773,26.0,1.0,27.77777777777778,
37,0.11869168281555176,0.014032187952688896,27.2,0.4472135954999579,26.48648648648649,
38,0.1056596279144287,0.0033659890988547167,28.4,0.8944271909999159,25.263157894736846,
39,0.11541967391967774,0.01071246121621261,29.0,0.7071067811865476,25.641025641025642,
40,0.10919647216796875,0.004228868456500581,29.0,1.224744871391589,27.5,
41,0.1279541015625,0.022947368949056884,30.0,0.7071067811865476,26.829268292682926,
42,0.12341423034667968,0.014260524125385006,31.0,1.0,26.19047619047619,
43,0.12400279045104981,0.008544574593720381,31.6,0.8944271909999159,26.511627906976738,
44,0.14346575736999512,0.022860678272023375,33.4,0.5477225575051661,24.090909090909097,
45,0.17117695808410643,0.022196180500472614,33.4,0.5477225575051661,25.777777777777782,
46,0.12180590629577637,0.0025880881132026076,34.0,0.7071067811865476,26.08695652173913,
47,0.1811756134033203,0.032940057683592344,34.2,0.8366600265340756,27.234042553191486,
48,0.17324223518371581,0.02827759048303052,35.4,0.5477225575051661,26.250000000000004,
49,0.12963738441467285,0.006022531800256934,36.2,0.8366600265340756,26.122448979591834,
50,0.13894228935241698,0.006356155722895427,37.2,0.4472135954999579,25.599999999999994,
