,String length,Average running time,Running time stdev,Average score,Score stdev,Average quality,Average objective quality
0,2,0.04982461929321289,0.0017973793161739206,2.0,0.0,0.0,
1,3,0.05426235198974609,0.000556518514481492,2.0,0.0,33.33333333333333,
2,4,0.05844407081604004,0.0005459055424903605,3.0,0.0,25.0,
3,5,0.06282415390014648,0.0023437353527239577,3.0,0.0,40.0,
4,6,0.07779326438903808,0.012990792690867725,4.0,0.0,33.33333333333333,
5,7,0.07179946899414062,0.0029710408064786615,4.2,0.4472135954999579,40.0,
6,8,0.07922534942626953,0.005193808782778535,4.4,0.5477225575051661,45.0,
7,9,0.08310565948486329,0.005147100323493382,5.0,0.0,44.44444444444444,
